num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_episodes_lifetime,env_runners/env_reset_timer,env_runners/env_to_module_sum_episodes_length_in,env_runners/env_step_timer,env_runners/episode_duration_sec_mean,env_runners/sample,env_runners/num_episodes,env_runners/weights_seq_no,env_runners/episode_return_mean,env_runners/episode_len_min,env_runners/episode_len_max,env_runners/rlmodule_inference_timer,env_runners/episode_return_max,env_runners/episode_len_mean,env_runners/episode_return_min,env_runners/num_env_steps_sampled,env_runners/num_env_steps_sampled_lifetime,env_runners/env_to_module_sum_episodes_length_out,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled/default_agent,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/agent_episode_return_mean/default_agent,env_runners/num_agent_steps_sampled_lifetime/default_agent,env_runners/num_module_steps_sampled/default_policy,env_runners/module_episode_return_mean/default_policy,env_runners/num_module_steps_sampled_lifetime/default_policy,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/default_policy/num_module_steps_trained_lifetime,learners/default_policy/curr_entropy_coeff,learners/default_policy/vf_loss,learners/default_policy/num_module_steps_trained,learners/default_policy/vf_loss_unclipped,learners/default_policy/vf_explained_var,learners/default_policy/num_trainable_parameters,learners/default_policy/curr_kl_coeff,learners/default_policy/entropy,learners/default_policy/mean_kl_loss,learners/default_policy/default_optimizer_learning_rate,learners/default_policy/diff_num_grad_updates_vs_sampler_policy,learners/default_policy/total_loss,learners/default_policy/policy_loss,learners/default_policy/module_train_batch_size_mean,learners/default_policy/gradients_default_optimizer_global_norm,learners/default_policy/weights_seq_no,learners/default_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad
1,1440.0,False,1,95da9_00001,2025-08-29_22-28-58,1756488538,7.0350189208984375,7.0350189208984375,25344,MSI,127.0.0.1,7.0350189208984375,1,7.02742080000462,2.2599997464567423e-05,7.027055499958806,3.5822663999861106,3.44071580003947,0.0032843000371940434,48.0,0.3663434000045527,101.52808717055426,0.12958411300781192,3.096690164584288,3.4945128499821294,48.0,0.0,0.16201447041142578,30,30,0.0026383218694570445,0.6356884837150574,30.0,0.00222706887871027,1440.0,1440.0,101.52808717055426,203.7358581489571,2,0,0,34.49090909090909,92.5,0.0009123319926295784,1440.0,0.004318125299931716,0.16201447041142578,1440.0,1440.0,0.16201447041142578,1440.0,519312,0,44672,519312,1488,1440,44672,135939,154601.13749051813,13302.54315298307,13301.160723914567,44672,0.0,0.012994773,44672,0.012994773,0.120093405,135939,0.20000000298023224,1.4164517,0.0075222207,3e-05,1.0,-0.11501587,-0.12951508,128.0,0.17227222,1.0,13303.112514720267,0.13092079997295514,1.0740632895208632e-05,0.00011594397595214367,2.994809794635556e-05,0.00021103057545038652,0.00014964522933681956,0.00042507150605705483,0.0016529737500638356,5.302226505689877e-06,0.0003589533107364973,0.0010742589501932204,0.00046929034300712924,0.015259900013916194,0.05322360002901405,0.007916600035969168,0.0002547000185586512,9.699957445263863e-06,0.052331199985928833,0.0012083000037819147,3.6699988413602114e-05
1,2880.0,False,2,95da9_00001,2025-08-29_22-29-05,1756488545,6.601975440979004,13.636994361877441,25344,MSI,127.0.0.1,13.636994361877441,2,7.023103136004647,2.2771997610107064e-05,7.022735622958862,3.577633422986255,3.4410280260391297,0.0032833550369832662,96.0,0.3663434000045527,175.87744752011656,0.11996018667932401,3.024715309992898,3.4900747134821724,48.0,1.0,0.20700541343539952,30,30,0.0020797278119446113,0.8095422387123108,30.0,0.016691267490386963,1440.0,2880.0,175.87744752011656,203.27243180093097,2,0,0,35.82222222222222,92.32222222222224,0.0008127392678048681,1440.0,0.003851133290741874,0.20700541343539952,2880.0,1440.0,0.20700541343539952,2880.0,1038624,0,89344,519312,1488.0,1440.0,44672,135939,154632.2767153696,13304.940741213813,13303.676987069384,89344,0.0,0.0114762215,44672,0.0114762215,0.113019586,135939,0.10000000149011612,1.4246548,0.0009840853,3e-05,1.0,0.070140034,0.05846698,128.0,0.21040744,2.0,13305.446928450028,0.1309200699732173,1.0531613572876397e-05,0.00010903639531208461,2.741402070020976e-05,0.00019667131999244876,0.00014054187465103603,0.0004261854041994141,0.001522497639929805,5.258839905996403e-06,0.00033474654783810466,0.0008901792161482977,0.00037616793905945753,0.01520289301406592,0.05318433302920312,0.007893334035761654,0.000254850018536672,9.75595787167549e-06,0.052457682986278086,0.0012032690038904549,3.672498860396445e-05
1,4320.0,False,3,95da9_00001,2025-08-29_22-29-11,1756488551,6.747406244277954,20.384400606155396,25344,MSI,127.0.0.1,20.384400606155396,3,7.020265786644711,2.274727801559493e-05,7.019896928728994,3.5751217177561423,3.4407080827788272,0.0032755104865529574,144.0,0.3663434000045527,230.32373463575007,0.11413897141584148,3.226772936001653,3.487839247347432,48.0,2.0,0.1419897858775221,30,30,0.0016734578890661449,0.8075938820838928,30.0,0.000547232455573976,1440.0,4320.0,230.32373463575007,202.39659697380617,2,0,0,35.65,92.25999999999999,0.0007371044261185458,1440.0,0.004268838068016431,0.1419897858775221,4320.0,1440.0,0.1419897858775221,4320.0,1557936,0,134016,519312,1488.0,1440.0,44672,135939,155160.68768792896,13350.205247944416,13349.00946478325,134016,0.0,0.0074650464,44672,0.0074650464,0.17697394,135939,0.10000000149011612,1.3539267,0.0053270296,3e-05,1.0,-0.026076788,-0.034074537,128.0,0.6317111,3.0,13350.701257982568,0.13073130427295107,1.0230075469204637e-05,0.0001040511709875513,2.539375766498183e-05,0.000184748863134578,0.00013380468474981464,0.0011842411765107085,0.0014313586099074622,5.122657793735425e-06,0.0003214999078231338,0.0007504770468710288,0.0003075798564681748,0.015113542083883658,0.05292884369899985,0.007923326695361175,0.00025453451847424737,9.736398304812609e-06,0.05259377415676136,0.001197480313666165,3.66547386511229e-05
1,5760.0,False,4,95da9_00001,2025-08-29_22-29-18,1756488558,6.487826108932495,26.87222671508789,25344,MSI,127.0.0.1,26.87222671508789,4,7.014872276777886,2.275280526338611e-05,7.014501039441687,3.5709234345785,3.439513771951139,0.0032692363819283197,192.0,0.3663434000045527,270.1949341556993,0.10884266625570646,3.0526198939955793,3.4837010428735753,48.0,3.0,0.12945285422727465,30,30,0.0013656492417410636,0.6999862790107727,30.0,0.0010525924153625965,1440.0,5760.0,270.1949341556993,201.19185017052092,2,0,0,38.211111111111116,92.48888888888888,0.0006696447839534625,1440.0,0.003765338758702546,0.12945285422727465,5760.0,1440.0,0.12945285422727465,5760.0,2077248,0,178688,519312,1488.0,1440.0,44672,135939,155269.17936923538,13359.295155637921,13358.190741741724,178688,0.0,0.009565421,44672,0.009565421,0.015242219,135939,0.10000000149011612,1.350346,0.005594033,3e-05,1.0,0.015042233,0.0049174144,128.0,0.4234727,4.0,13359.746626207394,0.13051416723036496,9.772122687445587e-06,9.772142579504725e-05,2.350241407326254e-05,0.0001721483666346332,0.00012820455058941036,0.0009740085232049967,0.0013328200435240543,4.846054144589375e-06,0.00030761883879685625,0.0006460675705867156,0.0002558059258943237,0.015032344662987161,0.052820995262073595,0.007904310428253142,0.0002541641735528829,9.772034170338883e-06,0.05259435841563041,0.0011918325103940444,3.6616191433859057e-05
1,7200.0,False,5,95da9_00001,2025-08-29_22-29-25,1756488565,6.525459051132202,33.39768576622009,25344,MSI,127.0.0.1,33.39768576622009,5,7.00989441801021,2.2776277375760256e-05,7.009520908047201,3.565977026232706,3.4394871172314803,0.003261575017786292,240.0,0.3663434000045527,299.39274791632096,0.10442497414950205,2.9818205320020206,3.4790613779448947,48.0,4.0,0.15077140420675278,30,30,0.001146932985419717,0.7613191604614258,30.0,0.003896467387676239,1440.0,7200.0,299.39274791632096,199.72110333994263,2,0,0,35.35555555555555,92.17777777777778,0.0006248364381356067,1440.0,0.0034246461966480485,0.15077140420675278,7200.0,1440.0,0.15077140420675278,7200.0,2596560,0,223360,519312,1488.0,1440.0,44672,135939,156292.51601117034,13446.924546943686,13445.948236869686,223360,0.0,0.011563201,44672,0.011563201,0.21018523,135939,0.10000000149011612,1.2088374,0.018965613,3e-05,1.0,-0.08399775,-0.097457506,128.0,0.53378975,5.0,13447.282974349171,0.1305813665577214,9.491106431211583e-06,9.419568609241941e-05,2.211408111897454e-05,0.00016471068153551307,0.00012368798657834092,0.0008198618804759557,0.001283371343796419,4.7309087549435685e-06,0.0002971744537673684,0.000572980822540699,0.00021831409315918896,0.014970481216472736,0.052713098309666216,0.007910324324367383,0.00025382253227109445,9.82731382949976e-06,0.05282866183103589,0.0011914321851002707,3.6575029665924375e-05
1,8640.0,False,6,95da9_00001,2025-08-29_22-29-32,1756488572,7.454460382461548,40.85214614868164,25344,MSI,127.0.0.1,40.85214614868164,6,7.01426529282975,2.2746514945519123e-05,7.013889552966934,3.565232589970631,3.444602874058718,0.0032548672675607525,288.0,0.3663434000045527,320.77440531976566,0.10423510524599727,3.331306259999983,3.478046592165371,48.0,5.0,0.20183074712753296,30,30,0.0010063238705680117,0.7292415499687195,30.0,0.010640193708240986,1440.0,8640.0,320.77440531976566,197.99414737296166,2,0,0,43.09090909090909,92.5909090909091,0.0006136215109439491,1440.0,0.0032982128948281057,0.20183074712753296,8640.0,1440.0,0.20183074712753296,8640.0,3115872,0,268032,519312,1488.0,1440.0,44672,135939,155192.41864397403,13352.111312301799,13351.201577019508,268032,0.0,0.014548527,44672,0.014548527,0.20508891,135939,0.10000000149011612,1.0984924,0.019175677,3e-05,1.0,0.017212562,0.00074647344,128.0,0.30470636,6.0,13352.399052779361,0.13224668689225275,9.743798624234582e-06,9.656180789699609e-05,2.234852653970683e-05,0.00016432447909550866,0.0001246268478359513,0.0007302689886059517,0.0012918842343482067,4.8746419263156525e-06,0.0003116412562877503,0.0005360424412416609,0.00019700815983844305,0.014890678404558303,0.05451013932708669,0.007950351080780871,0.0002533733065569151,9.88504071491251e-06,0.052739469212755845,0.0011917578633184095,3.6576279253401155e-05
1,10080.0,False,7,95da9_00001,2025-08-29_22-29-39,1756488579,7.0974485874176025,47.94959473609924,25344,MSI,127.0.0.1,47.94959473609924,7,7.0150259499013,2.283204985109392e-05,7.014648258436717,3.560360191070746,3.4502411123177508,0.0032453635945740088,336.0,0.3663434000045527,336.4322650851042,0.10074491822831433,2.9748409579973667,3.473250481243623,48.0,6.0,0.2161466994136572,30,30,0.000898801513254155,0.6482802033424377,30.0,0.023251747712492943,1440.0,10080.0,336.4322650851042,196.04203997905682,2,0,0,43.65,92.84,0.0006012439294926016,1440.0,0.003140523787700833,0.2161466994136572,10080.0,1440.0,0.2161466994136572,10080.0,3635184,0,312704,519312,1488.0,1440.0,44672,135939,154900.91834973605,13326.894511841769,13326.090048784923,312704,0.0,0.016793136,44672,0.016793136,0.04131633,135939,0.10000000149011612,1.0214275,0.014143148,3e-05,1.0,0.06974632,0.05153887,128.0,0.83300126,7.0,13327.101277976628,0.13238390902336958,9.840628101611387e-06,9.619247891228048e-05,2.1994154560605505e-05,0.00016391316972080437,0.00012445503659647703,0.0006537291637652919,0.0012739524209718358,4.8340740591712455e-06,0.00030669321048629644,0.000502270865063659,0.0001782161978636458,0.014841968620941755,0.05458150493403393,0.007995997570067498,0.0002540165732353738,9.938190301013158e-06,0.052816127520616485,0.0011860282846555051,3.659151645160607e-05
1,11520.0,False,8,95da9_00001,2025-08-29_22-29-46,1756488586,6.802771091461182,54.752365827560425,25344,MSI,127.0.0.1,54.752365827560425,8,7.012809596402395,2.283372935768663e-05,7.012430238852339,3.5554151591601255,3.452966286194792,0.003243635959178472,384.0,0.3663434000045527,347.8985685528376,0.09819420120751217,2.973183151996927,3.468566759931284,48.0,7.0,0.25394727954640983,30,30,0.0008145536645084066,1.1148407459259033,30.0,0.004685994237661362,1440.0,11520.0,347.8985685528376,193.90459875864497,2,0,0,36.42,92.85999999999999,0.0005923255129542595,1440.0,0.003030717291551437,0.25394727954640983,11520.0,1440.0,0.25394727954640983,11520.0,4154496,0,357376,519312,1488.0,1440.0,44672,135939,154646.84097527858,13305.024522254396,13304.219831551469,357376,0.0,0.023366636,44672,0.023366636,0.17736441,135939,0.10000000149011612,0.9172551,0.017416634,3e-05,1.0,-0.06105648,-0.08616479,128.0,0.25260374,8.0,13305.250972782138,0.13219803093333996,1.0137594925661821e-05,9.590819115286428e-05,2.171399501780536e-05,0.000164696797694601,0.00012294169641517656,0.0005991371949815586,0.0012648384808991507,4.889487494634902e-06,0.00030444141473231573,0.0004752491606959281,0.000163879318609776,0.014772614934912656,0.05451913188480702,0.007979874594419267,0.0002533424071597495,9.98480834556584e-06,0.05278742124521854,0.0011805330019628419,3.6667601160236425e-05
1,12960.0,False,9,95da9_00001,2025-08-29_22-29-52,1756488592,6.438917636871338,61.19128346443176,25344,MSI,127.0.0.1,61.19128346443176,9,7.00697459543811,2.2769392148733457e-05,7.00659330946364,3.54612951156856,3.4564122153331374,0.0032411895997713127,432.0,0.3663434000045527,356.29538121973866,0.09238575394353206,2.5122705279977526,3.459133221332117,48.0,8.0,0.3001005554571748,30,30,0.0007403009160308483,0.8898593783378601,30.0,0.010723275132477283,1440.0,12960.0,356.29538121973866,191.67930950220736,2,0,0,37.233333333333334,92.69999999999999,0.0005686674537698458,1440.0,0.0028673426069886774,0.3001005554571748,12960.0,1440.0,0.3001005554571748,12960.0,4673808,0,402048,519312,1488.0,1440.0,44672,135939,153383.92519786247,13196.343896332892,13195.559250739307,402048,0.0,0.03581264,44672,0.03581264,0.12650132,135939,0.10000000149011612,0.8592094,0.010353311,3e-05,1.0,-0.18132462,-0.21817258,128.0,0.5560676,9.0,13196.583725344894,0.13191454562410912,9.929366927092029e-06,9.322216484988569e-05,2.124413628837863e-05,0.00015997526574015403,0.00011856291118263185,0.0005450464744652282,0.0012186916689764472,4.855395977384027e-06,0.00029304872833514867,0.0004441839223660398,0.00015222001153248227,0.014702646785679395,0.0543712785658523,0.007954525848645692,0.000252991983412446,9.99096048716987e-06,0.0527574780331937,0.001174422672234084,3.659592506660317e-05
1,14400.0,False,10,95da9_00001,2025-08-29_22-29-59,1756488599,6.49085807800293,67.68214154243469,25344,MSI,127.0.0.1,67.68214154243469,10,7.001757906483584,2.2749698064830914e-05,7.001374289369223,3.5396831574527883,3.4576471231795676,0.0032314267039395836,480.0,0.3663434000045527,362.4443954300671,0.09043634335384296,2.787173478001496,3.452824452618902,48.0,9.0,0.18292523076757788,30,30,0.0006963911940203507,0.7528624534606934,30.0,0.007932831533253193,1440.0,14400.0,362.4443954300671,189.35488819075536,2,0,0,47.32222222222222,92.87777777777778,0.0005691185786570727,1440.0,0.0028480339428978377,0.18292523076757788,14400.0,1440.0,0.18292523076757788,14400.0,5193120,0,446720,519312,1488.0,1440.0,44672,135939,154158.13433914352,13262.774252548088,13262.045585923717,446720,0.0,0.018663304,44672,0.018663304,0.05857092,135939,0.10000000149011612,0.7564995,0.015885094,3e-05,1.0,-0.023963716,-0.044215526,128.0,0.4631848,10.0,13262.992929247637,0.1317539471676634,1.0011910080327315e-05,9.329759835550497e-05,2.1222614759592493e-05,0.00016246364077968648,0.00011928816168838959,0.0005196772539614054,0.0012312105134340788,9.405687077664852e-06,0.0002947720101122447,0.0004367761228023715,0.00014550580060458757,0.014649333317773695,0.05426980378029891,0.007955162590106181,0.0002530480634787966,1.0028050761330545e-05,0.05275974525296718,0.001168572445571668,3.657796613747439e-05
